family,source_file,page,section,source_id,source_item_id,item_key,exact_item_text,details,response_options,lifecycle_phase,readiness_domain,default_responsible_role_suggestion,source_traceability_requirement
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.18,safety.2.18,safety.other-risks-these-caused-most-injuries.2.18,Motor Vehicles,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.18"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.19,safety.2.19,safety.other-risks-these-caused-most-injuries.2.19,Noise Exposure,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.19"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.20,safety.2.20,safety.other-risks-these-caused-most-injuries.2.20,Personal Protection,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.20"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.21,safety.2.21,safety.other-risks-these-caused-most-injuries.2.21,Safety Training,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.21"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.22,safety.2.22,safety.other-risks-these-caused-most-injuries.2.22,Sanitation,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.22"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.23,safety.2.23,safety.other-risks-these-caused-most-injuries.2.23,Scaffolding,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.23"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.24,safety.2.24,safety.other-risks-these-caused-most-injuries.2.24,"Signs, Signals, Barricades",,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.24"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.25,safety.2.25,safety.other-risks-these-caused-most-injuries.2.25,Stairways & Ladders,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.25"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.26,safety.2.26,safety.other-risks-these-caused-most-injuries.2.26,Steel Erection,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.26"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.27,safety.2.27,safety.other-risks-these-caused-most-injuries.2.27,Tools,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.27"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.28,safety.2.28,safety.other-risks-these-caused-most-injuries.2.28,Welding & Cutting,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.28"
closeout,Project_Closeout_Checklist(2).pdf,1,Tasks,1.1,closeout.1.1,closeout.tasks.1.1,Installation of phone lines for Fire Alarm & Elevator-by owner to set up account,,N/A / Yes / No,closeout,administrative-closeout,Project Manager,"Project_Closeout_Checklist(2).pdf page 1, section 'Tasks', item 1.1"
closeout,Project_Closeout_Checklist(2).pdf,1,Tasks,1.2,closeout.1.2,closeout.tasks.1.2,All RFI's closed,,N/A / Yes / No,closeout,administrative-closeout,Project Manager,"Project_Closeout_Checklist(2).pdf page 1, section 'Tasks', item 1.2"
closeout,Project_Closeout_Checklist(2).pdf,1,Tasks,1.3,closeout.1.3,closeout.tasks.1.3,All Submittals approved,,N/A / Yes / No,closeout,administrative-closeout,Project Manager,"Project_Closeout_Checklist(2).pdf page 1, section 'Tasks', item 1.3"
closeout,Project_Closeout_Checklist(2).pdf,1,Tasks,1.4,closeout.1.4,closeout.tasks.1.4,All Change Orders approved,,N/A / Yes / No,closeout,administrative-closeout,Project Manager,"Project_Closeout_Checklist(2).pdf page 1, section 'Tasks', item 1.4"
closeout,Project_Closeout_Checklist(2).pdf,1,Tasks,1.5,closeout.1.5,closeout.tasks.1.5,Request all as-builts from Subs,,N/A / Yes / No,closeout,administrative-closeout,Project Manager,"Project_Closeout_Checklist(2).pdf page 1, section 'Tasks', item 1.5"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.1,closeout.2.1,closeout.document-tracking.2.1,Soil investigation and certification of building pad if required,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.1"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.2,closeout.2.2,closeout.document-tracking.2.2,Soil Poison/Termite letter (usually from Shell contractor) prior to pours,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.2"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.3,closeout.2.3,closeout.document-tracking.2.3,Insulation certificate from insulation contractor,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.3"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.4,closeout.2.4,closeout.document-tracking.2.4,Form board survey,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.4"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.5,closeout.2.5,closeout.document-tracking.2.5,Tie-in survey showing setbacks and finish floor elevation,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.5"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.6,closeout.2.6,closeout.document-tracking.2.6,Final Survey & Elevation Certficate,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.6"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.7,closeout.2.7,closeout.document-tracking.2.7,Letter on fire-treated lumber if applicable,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.7"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.8,closeout.2.8,closeout.document-tracking.2.8,Fire Alarm Monitoring letter received from Owner,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.8"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.9,closeout.2.9,closeout.document-tracking.2.9,"Letter from Structural Engineer certifying building as-builts, if necessary",,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.9"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.10,closeout.2.10,closeout.document-tracking.2.10,Architect to issue Certificate of Substantial Completion Affidavit (date of S.C.),,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.10"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.11,closeout.2.11,closeout.document-tracking.2.11,Engineer Cert for all sitework-Paving & Utilities,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.11"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.12,closeout.2.12,closeout.document-tracking.2.12,Threshold Inpsection reports for Bldg Dept,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.12"
closeout,Project_Closeout_Checklist(2).pdf,1,Document Tracking,2.13,closeout.2.13,closeout.document-tracking.2.13,Final Landscape acceptance letter for the LA of record submitted if required,,N/A / Yes / No,closeout,document-turnover-readiness,Project Manager / Superintendent,"Project_Closeout_Checklist(2).pdf page 1, section 'Document Tracking', item 2.13"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.1,closeout.3.1,closeout.inspections.3.1,All plan changes submitted and approved by Building Department,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.1"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.2,closeout.3.2,closeout.inspections.3.2,Health Department approval of water and sewer lines,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.2"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.3,closeout.3.3,closeout.inspections.3.3,Utility company's approval of water and sewer lines,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.3"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.4,closeout.3.4,closeout.inspections.3.4,Demo Final,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.4"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.5,closeout.3.5,closeout.inspections.3.5,Plumbing Final,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.5"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.6,closeout.3.6,closeout.inspections.3.6,HVAC Final,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.6"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.7,closeout.3.7,closeout.inspections.3.7,Electrical Final,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.7"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.8,closeout.3.8,closeout.inspections.3.8,Fire alarm & Fire sprinkler Final,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.8"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.9,closeout.3.9,closeout.inspections.3.9,Building Final,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.9"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.10,closeout.3.10,closeout.inspections.3.10,Complete Pre-Certificate of Occupancy checklist,,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.10"
closeout,Project_Closeout_Checklist(2).pdf,2,Inspections,3.11,closeout.3.11,closeout.inspections.3.11,"Obtain Certificate of Occupancy (C.O.) . or Certificate of Completion, if shell building",,N/A / Yes / No,closeout,inspection-and-co-readiness,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 2, section 'Inspections', item 3.11"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.1,closeout.4.1,closeout.turnover.4.1,Send copy of C.O. to Owner or Owner's Representative,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.1"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.2,closeout.4.2,closeout.turnover.4.2,Schedule meeting with Architect & Owner for punch list (date),,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.2"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.3,closeout.4.3,closeout.turnover.4.3,Complete punch list (date completed),,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.3"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.4,closeout.4.4,closeout.turnover.4.4,Complete as-built drawings (date),,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.4"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.5,closeout.4.5,closeout.turnover.4.5,"Schedule ""turn-over"" meeting with Owner & Owner's Representative",,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.5"
closeout,Project_Closeout_Checklist(2).pdf,3,Turnover,4.6,closeout.4.6,closeout.turnover.4.6,Give Owner list of subs and all warranty letters,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Turnover', item 4.6"
closeout,Project_Closeout_Checklist(2).pdf,3,Turnover,4.7,closeout.4.7,closeout.turnover.4.7,Give Owner all Maintenance Manuals,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Turnover', item 4.7"
closeout,Project_Closeout_Checklist(2).pdf,3,Turnover,4.8,closeout.4.8,closeout.turnover.4.8,Convey any Attic Stock,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Turnover', item 4.8"
closeout,Project_Closeout_Checklist(2).pdf,3,Turnover,4.9,closeout.4.9,closeout.turnover.4.9,Forward letter of appreciation to Owner,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Turnover', item 4.9"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.10,closeout.4.10,closeout.turnover.4.10,Order plant for delivery (best wishes...),,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.10"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.11,closeout.4.11,closeout.turnover.4.11,Prepare Public Relations Announcement,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.11"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.12,closeout.4.12,closeout.turnover.4.12,Complete final payment forms for each subcontractor,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.12"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.13,closeout.4.13,closeout.turnover.4.13,Date last contractual work on project was performed (date),,date field,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.13"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.14,closeout.4.14,closeout.turnover.4.14,Flag 80 calendar days from last day HB worked on project (date),,date field,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.14"
closeout,Project_Closeout_Checklist(2).pdf,2,Turnover,4.15,closeout.4.15,closeout.turnover.4.15,Obtain Release of Liens from Subs,,N/A / Yes / No,closeout,owner-turnover-readiness,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 2, section 'Turnover', item 4.15"
closeout,Project_Closeout_Checklist(2).pdf,3,Post Turnover,5.1,closeout.5.1,closeout.post-turnover.5.1,"If final payment is not received, send letter to Owner that we intend to lien property",,N/A / Yes / No,warranty,post-turnover-risk-controls,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Post Turnover', item 5.1"
closeout,Project_Closeout_Checklist(2).pdf,3,Post Turnover,5.2,closeout.5.2,closeout.post-turnover.5.2,"If final payment is not received within 88 days, file lien",,N/A / Yes / No,warranty,post-turnover-risk-controls,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Post Turnover', item 5.2"
closeout,Project_Closeout_Checklist(2).pdf,3,Post Turnover,5.3,closeout.5.3,closeout.post-turnover.5.3,"Six months after completion of project, give photographs taken",,N/A / Yes / No,warranty,post-turnover-risk-controls,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Post Turnover', item 5.3"
closeout,Project_Closeout_Checklist(2).pdf,3,Post Turnover,5.4,closeout.5.4,closeout.post-turnover.5.4,Request from Owner a recommendation letter,,N/A / Yes / No,warranty,post-turnover-risk-controls,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Post Turnover', item 5.4"
closeout,Project_Closeout_Checklist(2).pdf,3,Post Turnover,5.5,closeout.5.5,closeout.post-turnover.5.5,"Project Manager return all files, permit plans, and permit card to Estimator",,N/A / Yes / No,warranty,post-turnover-risk-controls,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Post Turnover', item 5.5"
closeout,Project_Closeout_Checklist(2).pdf,3,Complete Project Closeout Documents for PX,6.1,closeout.6.1,closeout.complete-project-closeout-documents-for-px.6.1,Project Closeout Checklist,,N/A / Yes / No,closeout,px-closeout-documents,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Complete Project Closeout Documents for PX', item 6.1"
closeout,Project_Closeout_Checklist(2).pdf,3,Complete Project Closeout Documents for PX,6.2,closeout.6.2,closeout.complete-project-closeout-documents-for-px.6.2,Project Recap Form,,N/A / Yes / No,closeout,px-closeout-documents,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Complete Project Closeout Documents for PX', item 6.2"
closeout,Project_Closeout_Checklist(2).pdf,3,Complete Project Closeout Documents for PX,6.3,closeout.6.3,closeout.complete-project-closeout-documents-for-px.6.3,Subcontractor Evaluation Form,,N/A / Yes / No,closeout,px-closeout-documents,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Complete Project Closeout Documents for PX', item 6.3"
closeout,Project_Closeout_Checklist(2).pdf,3,Complete Project Closeout Documents for PX,6.4,closeout.6.4,closeout.complete-project-closeout-documents-for-px.6.4,Cost Variance Report,,N/A / Yes / No,closeout,px-closeout-documents,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Complete Project Closeout Documents for PX', item 6.4"
closeout,Project_Closeout_Checklist(2).pdf,3,Complete Project Closeout Documents for PX,6.5,closeout.6.5,closeout.complete-project-closeout-documents-for-px.6.5,Send Lessons learned to Victoria Miel,,N/A / Yes / No,closeout,px-closeout-documents,Project Manager / Project Executive,"Project_Closeout_Checklist(2).pdf page 3, section 'Complete Project Closeout Documents for PX', item 6.5"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.1,closeout.7.1,closeout.pbc-close-out-requirements.7.1,Soil Bearing Capacity Certification Letter,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.1"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.2,closeout.7.2,closeout.pbc-close-out-requirements.7.2,Foundation Soil Density Test Results,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.2"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.3,closeout.7.3,closeout.pbc-close-out-requirements.7.3,Form Board Survey - Signed & Sealed by Surveyor,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.3"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.4,closeout.7.4,closeout.pbc-close-out-requirements.7.4,Termite Pre-Treatment Certificate,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.4"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.5,closeout.7.5,closeout.pbc-close-out-requirements.7.5,Shoring Reports,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.5"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.6,closeout.7.6,closeout.pbc-close-out-requirements.7.6,Final Certification Letter - Structural,"To be issued by Structural EOR, signed and sealed",Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.6"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.7,closeout.7.7,closeout.pbc-close-out-requirements.7.7,Fire Main Underground Pressure Test Passed,PBCFD (will include DDCV) & Plumbing,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.7"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.8,closeout.7.8,closeout.pbc-close-out-requirements.7.8,Final Survey - Signed & Sealed,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.8"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.9,closeout.7.9,closeout.pbc-close-out-requirements.7.9,Insulation Certificates,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.9"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.10,closeout.7.10,closeout.pbc-close-out-requirements.7.10,Intumescent Fire Coating Certificate (if applicable),,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.10"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.11,closeout.7.11,closeout.pbc-close-out-requirements.7.11,Plenum Door Certificate (if applicable),,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.11"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.12,closeout.7.12,closeout.pbc-close-out-requirements.7.12,Termite Post-Treatment Certificate,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.12"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.13,closeout.7.13,closeout.pbc-close-out-requirements.7.13,"All Inspections Recorded as ""Approved"" / ""Passed""",PBC will not issue TCO for phase if any inspections are recorded as incomplete / partial / failed,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.13"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.14,closeout.7.14,closeout.pbc-close-out-requirements.7.14,Partial Final Inspections Passed,As Required by Master Building Permit and All Associated Sub-Permits,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.14"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.15,closeout.7.15,closeout.pbc-close-out-requirements.7.15,Certification of Completion Letter - Private Provider,,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.15"
closeout,Project_Closeout_Checklist(2).pdf,4,PBC Close-Out Requirements,7.16,closeout.7.16,closeout.pbc-close-out-requirements.7.16,Final Building Inspections by PBC (discretionary),May be required by PBC in addition to UES Final Inspection,Yes / No / N/A,closeout,authority-closeout-requirements,Superintendent / Project Manager,"Project_Closeout_Checklist(2).pdf page 4, section 'PBC Close-Out Requirements', item 7.16"
